dateTime,activities-minutesSedentary,RestHeart,activities-minutesVeryActive,activities-floors,activities-steps,sleep-minutesAsleep,sleep-awakeningsCount,sleep-minutesAwake,sleep-startTime
2018-02-05,687,58,41,9,10265,399,0,50,23:43
2018-02-06,730,58,0,1,6076,459,12,25,23:18
2018-02-07,718,59,29,7,10822,356,0,35,00:40
2018-02-08,771,59,12,17,10350,394,0,49,23:57
2018-02-09,1372,59,0,7,4373,0,0,0,
2018-02-10,707,59,0,1,8080,437,9,12,23:32
2018-02-11,696,58,6,12,8579,415,15,30,01:11
2018-02-12,748,59,20,9,7820,419,7,11,23:53
2018-02-13,652,59,21,3,9676,361,0,38,00:34
2018-02-14,561,60,7,5,10701,449,0,74,23:05
2018-02-15,1053,60,19,11,9814,0,0,0,
2018-02-16,758,60,17,15,8835,498,15,36,22:18
2018-02-17,601,59,4,7,11821,363,12,32,00:55
2018-02-18,546,59,0,5,7124,559,20,32,22:53
2018-02-19,737,59,62,10,13284,357,0,57,00:19
2018-02-20,663,59,56,4,13155,340,0,53,00:41
2018-02-21,707,60,31,15,13101,379,0,48,00:10
2018-02-22,1199,59,43,9,9747,0,0,0,
2018-02-23,645,59,7,3,12151,384,0,45,00:05
2018-02-24,556,60,36,7,11040,444,0,84,23:56
2018-02-25,558,61,23,15,12883,430,0,58,23:13
2018-02-26,708,61,10,8,7690,406,10,21,00:10
2018-02-27,757,60,8,4,8161,456,17,31,23:00
2018-02-28,1232,60,27,13,6961,0,0,0,
2018-03-01,708,60,29,11,9111,409,0,66,23:47
2018-03-02,669,60,25,24,8392,406,0,97,23:30
2018-03-03,536,59,2,1,10441,446,0,81,23:14
2018-03-04,664,60,2,7,9491,393,0,62,00:34
2018-03-05,740,60,27,8,11046,392,10,20,00:21
2018-03-06,722,60,0,4,7009,405,5,11,00:05
2018-03-07,922,59,30,9,9583,268,6,12,00:12
2018-03-08,753,59,0,6,3688,443,0,58,22:48
2018-03-09,718,58,52,15,12847,371,0,71,23:44
2018-03-10,1140,59,0,16,10812,0,0,0,
2018-03-11,675,61,0,11,8042,426,0,55,23:24
2018-03-12,757,60,7,1,7375,404,13,27,23:58
2018-03-13,718,60,0,14,6297,412,12,16,23:50
2018-03-14,271,60,32,10,11981,419,13,20,23:37
2018-03-15,732,59,12,12,9180,381,0,69,00:15
2018-03-16,821,58,0,9,3958,388,0,61,23:56
2018-03-17,601,59,54,16,10211,399,0,74,23:57
2018-03-18,1114,60,0,12,7289,0,0,0,
2018-03-19,701,62,53,15,14837,351,0,48,00:30
2018-03-20,814,62,0,6,6161,359,4,14,00:55
2018-03-21,751,62,52,8,13456,389,7,16,00:23
2018-03-22,819,62,6,13,7041,329,0,47,00:57
2018-03-23,789,62,59,20,9928,345,0,48,00:40
2018-03-24,758,61,0,3,8146,341,0,39,00:39
2018-03-25,793,59,0,2,2464,457,0,65,00:11
2018-03-26,833,59,30,9,9467,327,0,47,00:58
2018-03-27,686,59,2,7,8742,405,0,38,23:41
2018-03-28,516,58,51,20,16507,469,0,67,22:19
2018-03-29,704,59,34,27,14651,393,0,51,23:38
2018-03-30,674,59,21,9,11017,394,0,65,23:34
2018-03-31,1381,59,0,2,8035,0,0,0,
2018-04-01,650,59,0,4,8234,458,17,36,00:19
2018-04-02,784,59,5,2,3503,498,12,18,00:02
2018-04-03,643,58,46,1,10709,361,12,23,00:38
2018-04-04,728,58,47,7,11696,452,12,17,23:16
2018-04-05,473,58,22,9,8112,358,8,11,00:55
2018-04-06,790,56,0,1,4087,390,0,61,23:41
2018-04-07,654,56,5,5,7402,449,0,72,23:39
2018-04-08,541,57,24,6,12640,422,0,71,23:55
2018-04-09,789,58,19,13,8440,355,0,53,00:11
2018-04-10,673,57,4,3,7867,399,0,62,23:37
2018-04-11,1213,57,15,1,8317,0,0,0,
2018-04-12,720,57,31,9,8745,409,0,73,23:10
2018-04-13,725,57,36,9,12534,380,0,56,23:56
2018-04-14,730,56,0,6,8353,382,12,20,00:23
2018-04-15,563,57,49,11,11816,471,20,33,00:18
2018-04-16,728,57,41,18,13544,333,0,47,00:49
2018-04-17,743,56,8,4,6599,429,0,50,23:09
2018-04-18,707,56,27,14,10498,380,0,68,23:52
2018-04-19,701,56,60,10,14895,371,0,42,00:18
2018-04-20,749,57,14,10,8790,387,0,48,00:00
2018-04-21,520,57,1,3,10206,488,0,73,22:11
2018-04-22,669,58,9,4,8141,414,0,85,00:30
2018-04-23,817,58,0,10,6014,375,0,59,00:03
2018-04-24,690,57,0,5,6723,436,0,60,22:54
2018-04-25,770,58,18,8,9038,347,0,52,00:33
2018-04-26,1191,59,51,23,13116,0,0,0,
2018-04-27,588,58,3,3,7579,368,0,70,23:41
2018-04-28,663,58,6,8,8309,581,11,17,21:57
2018-04-29,674,58,10,18,7700,446,0,52,00:07
2018-04-30,757,57,0,1,4600,430,0,72,00:27
2018-05-01,629,58,23,44,10457,437,0,89,23:41
2018-05-02,675,56,0,0,5510,475,0,71,23:33
2018-05-03,675,56,7,5,7850,419,0,85,00:12
2018-05-04,553,56,9,10,9954,523,0,66,22:05
2018-05-05,1034,56,3,3,9601,127,2,2,15:17
2018-05-06,1244,56,0,5,4996,0,0,0,
2018-05-07,1123,57,7,22,10467,0,0,0,
2018-05-08,1048,57,5,50,15455,0,0,0,
2018-05-09,1118,58,26,21,12836,0,0,0,
2018-05-10,1438,58,0,0,18,0,0,0,
2018-05-11,1440,58,0,0,0,0,0,0,
2018-05-12,1440,58,0,0,0,0,0,0,
2018-05-13,1440,58,0,0,0,0,0,0,
2018-05-14,1387,58,0,0,249,0,0,0,
2018-05-15,730,59,2,6,8609,320,13,16,23:21
2018-05-16,236,60,5,10,9005,491,14,18,21:45
2018-05-17,721,62,0,6,7952,373,0,60,23:13
2018-05-18,784,61,6,9,5943,445,11,23,23:33
2018-05-19,616,61,27,11,11935,404,0,81,01:03
2018-05-20,742,59,10,1,13006,284,0,52,03:18
2018-05-21,630,59,8,2,10617,412,0,62,00:58
2018-05-22,1269,58,0,2,1138,71,1,1,23:54
2018-05-23,732,58,16,15,11096,470,10,20,23:02
2018-05-24,1249,58,0,11,6091,0,0,0,
2018-05-25,630,58,40,5,11622,439,0,53,22:54
2018-05-26,1135,58,0,6,7173,0,0,0,
2018-05-27,1252,59,10,6,8627,0,0,0,
