Days,Years,Months,date,activities-minutesSedentary,activities-minutesVeryActive,activities-floors,sleep-minutesAsleep,activities-steps,sleep-awakeningsCount,RestHeart
Thursday,2018,April,2018-04-05,473,22,9,358,8112,8,58
Friday,2018,April,2018-04-06,790,0,1,390,4087,0,56
Saturday,2018,April,2018-04-07,654,5,5,449,7402,0,56
Sunday,2018,April,2018-04-08,541,24,6,422,12640,0,57
Monday,2018,April,2018-04-09,789,19,13,355,8440,0,58
Tuesday,2018,April,2018-04-10,673,4,3,399,7867,0,57
Wednesday,2018,April,2018-04-11,1213,15,1,0,8317,0,57
Thursday,2018,April,2018-04-12,720,31,9,409,8745,0,57
Friday,2018,April,2018-04-13,725,36,9,380,12534,0,57
Saturday,2018,April,2018-04-14,730,0,6,382,8353,12,56
Sunday,2018,April,2018-04-15,563,49,11,471,11816,20,57
Monday,2018,April,2018-04-16,728,41,18,333,13544,0,57
Tuesday,2018,April,2018-04-17,743,8,4,429,6599,0,56
Wednesday,2018,April,2018-04-18,707,27,14,380,10498,0,56
Thursday,2018,April,2018-04-19,701,60,10,371,14895,0,56
Friday,2018,April,2018-04-20,749,14,10,387,8790,0,57
Saturday,2018,April,2018-04-21,520,1,3,488,10206,0,57
Sunday,2018,April,2018-04-22,669,9,4,414,8141,0,58
Monday,2018,April,2018-04-23,817,0,10,375,6014,0,58
Tuesday,2018,April,2018-04-24,690,0,5,436,6723,0,57
Wednesday,2018,April,2018-04-25,770,18,8,347,9038,0,58
